COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Acadian Flycatcher,,Endangered,2010-04-25,Empidonax virescens,Acadian Flycatcher,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Birds,,Added to list
Acadian Redfish,Atlantic population,Threatened,2010-04-25,Sebastes fasciatus,Acadian Redfish,Atlantic population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Acadian Redfish,Bonne Bay population,Special Concern,2010-04-25,Sebastes fasciatus,Acadian Redfish,Bonne Bay population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Acuteleaf Small Limestone Moss,,Endangered,2018-04-27,Seligeria acutifolia,Acuteleaf Small Limestone Moss,,Endangered,2021-04-23,Schedule 1,2021-04-23,British Columbia,Mosses,,Added to list
Alaskan Brook Lamprey,,Data Deficient,2006-04-29,Lethenteron alaskense,,,No Status,,No schedule,,Northwest Territories,Fishes (freshwater),,
Alkaline Wing-nerved Moss,,Threatened,2004-11-01,Pterygoneurum kozlovii,Alkaline Wing-nerved Moss,,Threatened,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Saskatchewan",Mosses,,Added to list
Allegheny Mountain Dusky Salamander,,Non-active,2007-04-22,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,,No Status,2009-03-05,No schedule,2003-06-05,Quebec,Amphibians,,Struck - WS reassignment
Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,2018-04-27,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,2021-04-23,Schedule 1,2003-06-05,Quebec,Amphibians,,Uplisted: Threatened to endangered
Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,2018-04-27,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,2009-03-05,Schedule 1,2003-06-05,Ontario,Amphibians,,Uplisted
American Badger,,Non-active,2000-05-01,Taxidea taxus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Mammals (terrestrial),,
American Badger jacksoni subspecies,,Endangered,2012-11-25,Taxidea taxus jacksoni,American Badger jacksoni subspecies,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Mammals (terrestrial),,Added to list
American Badger jeffersonii subspecies,,Non-active,2012-11-25,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,,No Status,2018-05-30,No schedule,2003-06-05,British Columbia,Mammals (terrestrial),,Struck - WS reassignment
American Badger jeffersonii subspecies,Eastern population,Endangered,2012-11-25,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,Eastern population,Endangered,,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,
American Badger jeffersonii subspecies,Western population,Endangered,2012-11-25,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,Western population,Endangered,,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,
American Badger taxus subspecies,,Special Concern,2012-11-25,Taxidea taxus taxus,American Badger taxus subspecies,,Special Concern,2018-02-02,Schedule 1,2018-02-02,"Alberta, Manitoba, Ontario, Saskatchewan",Mammals (terrestrial),,Added to list
American Black Bear,,Not at Risk,1999-04-01,Ursus americanus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,
American Bumble Bee,,Special Concern,2018-11-01,Bombus pensylvanicus,American Bumble Bee,,Special Concern,2023-02-03,Schedule 1,2023-02-03,"Ontario, Quebec",Arthropods,,Added to list
American Burying Beetle,,Extirpated,2022-12-03,Nicrophorus americanus,American Burying Beetle,,Extirpated,2017-06-02,Schedule 1,2017-06-02,"Ontario, Quebec",Arthropods,,Added to list
American Chestnut,,Endangered,2004-11-01,Castanea dentata,American Chestnut,,Endangered,2006-08-15,Schedule 1,2006-08-15,Ontario,Vascular Plants,,Added to list
American Columbo,,Endangered,2006-04-29,Frasera caroliniensis,American Columbo,,Endangered,2007-12-13,Schedule 1,2007-12-13,Ontario,Vascular Plants,,Added to list
American Coot,,Not at Risk,1991-04-01,Fulica americana,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Birds,,
American Eel,,Threatened,2012-05-04,Anguilla rostrata,American Eel,,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Fishes (freshwater),Addition,Pending
American Ginseng,,Endangered,2000-05-01,Panax quinquefolius,American Ginseng,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,,Added to list
American Hart's-tongue Fern,,Special Concern,2016-11-27,Asplenium scolopendrium var. americanum,American Hart's-tongue Fern,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
American Marten,Newfoundland population,Special Concern,2022-05-11,Martes americana atrata,American Marten,Newfoundland population,Threatened,,Schedule 1,2003-06-05,Newfoundland and Labrador,Mammals (terrestrial),Status change,Pending
American Plaice,Arctic population,Data Deficient,2009-04-26,Hippoglossoides platessoides,,,No Status,,No schedule,,Arctic Ocean,Fishes (marine),,
American Plaice,Maritimes population,Threatened,2009-04-26,Hippoglossoides platessoides,American Plaice,Maritimes population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
American Plaice,Newfoundland and Labrador population,Threatened,2009-04-26,Hippoglossoides platessoides,American Plaice,Newfoundland and Labrador population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
American Water-willow,,Threatened,2021-05-05,Justicia americana,American Water-willow,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,,Added to list
American White Pelican,,Not at Risk,1987-04-01,Pelecanus erythrorhynchos,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Birds,,
Ancient Murrelet,,Special Concern,2014-11-28,Synthliboramphus antiquus,Ancient Murrelet,,Special Concern,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Pacific Ocean",Birds,,Added to list
Anticosti Aster,,Special Concern,2017-04-28,Symphyotrichum anticostense,Anticosti Aster,,Special Concern,2021-08-12,Schedule 1,2003-06-05,"New Brunswick, Quebec",Vascular Plants,,Downlisted: Threatened to special concern
Arctic Grey Wolf,,Data Deficient,1999-04-01,Canis lupus arctos,,,No Status,,No schedule,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Athabasca Thrift,,Special Concern,2018-04-27,Armeria maritima ssp. interior,Athabasca Thrift,,Special Concern,2005-01-12,Schedule 1,2005-01-12,Saskatchewan,Vascular Plants,,Added to list
Atlantic Bluefin Tuna,,Endangered,2011-05-06,Thunnus thynnus,Atlantic Bluefin Tuna,,No Status,2017-04-13,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Atlantic Cod,,Non-active,2003-05-01,Gadus morhua,Atlantic Cod,,,,,,Atlantic Ocean,Fishes (marine),,
Atlantic Cod,Arctic Lakes population,Special Concern,2010-04-25,Gadus morhua,Atlantic Cod,Arctic Lakes population,No Status,,No schedule,,Nunavut,Fishes (marine),Addition,Pending
Atlantic Cod,Arctic Marine population,Data Deficient,2010-04-25,Gadus morhua,,,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),,
Atlantic Cod,Arctic population,Non-active,2010-04-25,Gadus morhua,Atlantic Cod,Arctic population,No Status,2006-04-06,No schedule,,Arctic Ocean,Fishes (marine),,Refer back
Atlantic Cod,Laurentian North population,Endangered,2010-04-25,Gadus morhua,Atlantic Cod,Laurentian North population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Cod,Laurentian South population,Endangered,2010-04-25,Gadus morhua,Atlantic Cod,Laurentian South population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Cod,Maritimes population,Non-active,2010-04-25,Gadus morhua,Atlantic Cod,Maritimes population,No Status,2006-04-06,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Atlantic Cod,Newfoundland and Labrador population,Endangered,2010-04-25,Gadus morhua,Atlantic Cod,Newfoundland and Labrador population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Cod,Southern population,Endangered,2010-04-25,Gadus morhua,Atlantic Cod,Southern population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Halibut,,Not at Risk,2011-11-25,Hippoglossus hippoglossus,,,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),,
Atlantic Mud-piddock,,Threatened,2021-05-05,Barnea truncata,Atlantic Mud-piddock,,Threatened,2017-04-13,Schedule 1,2017-04-13,"Atlantic Ocean, Nova Scotia",Molluscs,,Added to list
Atlantic Salmon,Anticosti Island population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Anticosti Island population,No Status,,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Eastern Cape Breton population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Eastern Cape Breton population,No Status,,No schedule,,"Atlantic Ocean, Nova Scotia",Fishes (marine),Addition,Pending
Atlantic Salmon,Gaspe-Southern Gulf of St. Lawrence population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Gaspe-Southern Gulf of St. Lawrence population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Inner Bay of Fundy population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Inner Bay of Fundy population,Endangered,2003-06-05,Schedule 1,2003-06-05,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (marine),,Added to list
Atlantic Salmon,Inner St. Lawrence population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Inner St. Lawrence population,No Status,,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Labrador population,Not at Risk,2010-11-26,Salmo salar,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador, Quebec",Fishes (marine),,
Atlantic Salmon,Lake Ontario population,Extinct,2010-11-26,Salmo salar,Atlantic Salmon,Lake Ontario population,No Status,,No schedule,,"Atlantic Ocean, Ontario",Fishes (marine),,
Atlantic Salmon,Northeast Newfoundland population,Not at Risk,2010-11-26,Salmo salar,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Atlantic Salmon,Northwest Newfoundland population,Not at Risk,2010-11-26,Salmo salar,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Atlantic Salmon,Nova Scotia Southern Upland population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Nova Scotia Southern Upland population,No Status,,No schedule,,"Atlantic Ocean, Nova Scotia",Fishes (marine),Addition,Pending
Atlantic Salmon,Nunavik population,Data Deficient,2010-11-26,Salmo salar,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador, Quebec",Fishes (marine),,
Atlantic Salmon,Outer Bay of Fundy population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Outer Bay of Fundy population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick",Fishes (marine),Addition,Pending
Atlantic Salmon,Quebec Eastern North Shore population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Quebec Eastern North Shore population,No Status,,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Quebec Western North Shore population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Quebec Western North Shore population,No Status,,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,South Newfoundland population,Threatened,2010-11-26,Salmo salar,Atlantic Salmon,South Newfoundland population,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending
Atlantic Salmon,Southwest Newfoundland population,Not at Risk,2010-11-26,Salmo salar,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador, Quebec",Fishes (marine),,
Atlantic Sturgeon,Maritimes populations,Threatened,2011-05-06,Acipenser oxyrinchus,Atlantic Sturgeon,Maritimes populations,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending
Atlantic Sturgeon,St. Lawrence populations,Threatened,2011-05-06,Acipenser oxyrinchus,Atlantic Sturgeon,St. Lawrence populations,No Status,,No schedule,,"Atlantic Ocean, Quebec",Fishes (freshwater),Addition,Pending
Atlantic Walrus,,Non-active,2017-04-28,Odobenus rosmarus rosmarus,Atlantic Walrus,,No Status,,No schedule,,"Arctic Ocean, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Nunavut, Prince Edward Island, Quebec",Mammals (marine),,
Atlantic Walrus,Central / Low Arctic population,Special Concern,2017-04-28,Odobenus rosmarus rosmarus,Atlantic Walrus,Central / Low Arctic population,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Nunavut, Ontario, Quebec",Mammals (marine),Addition,Pending
Atlantic Walrus,Eastern Arctic population,Non-active,2006-04-29,Odobenus rosmarus rosmarus,,,No Status,,No schedule,,"Arctic Ocean, Manitoba, Newfoundland and Labrador, Nunavut, Quebec",Mammals (marine),,
Atlantic Walrus,High Arctic population,Special Concern,2017-04-28,Odobenus rosmarus rosmarus,Atlantic Walrus,High Arctic population,No Status,,No schedule,,"Arctic Ocean, Nunavut",Mammals (marine),Addition,Pending
Atlantic Walrus,Northwest Atlantic population,Non-active,2006-04-29,Odobenus rosmarus rosmarus,Atlantic Walrus,Northwest Atlantic population,Extirpated,2003-06-05,Schedule 1,2003-06-05,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Mammals (marine),,Added to list
Atlantic Walrus,Nova Scotia - Newfoundland - Gulf of St Lawrence population,Extinct,2017-04-28,Odobenus rosmarus rosmarus,,,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Mammals (marine),,
Atlantic White-sided Dolphin,,Not at Risk,1991-04-01,Lagenorhynchus acutus,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Atlantic Whitefish,,Endangered,2022-12-03,Coregonus huntsmani,Atlantic Whitefish,,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Fishes (freshwater),,Added to list
Atlantic Wolffish,,Special Concern,2012-11-25,Anarhichas lupus,Atlantic Wolffish,,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,Added to list
Audouin’s Night-stalking Tiger Beetle,,Threatened,2013-11-01,Omus audouini,Audouin’s Night-stalking Tiger Beetle,,Threatened,2018-05-30,Schedule 1,2018-05-30,British Columbia,Arthropods,,Added to list
Aurora Trout,,Non-active,2011-05-06,Salvelinus fontinalis timagamiensis,Aurora Trout,,No Status,2017-04-13,No schedule,2003-06-05,Ontario,Fishes (freshwater),,Struck - WS invalid
Aweme Borer,,Data Deficient,2020-11-04,Papaipema aweme,Aweme Borer,,Endangered,2007-12-13,Schedule 1,2007-12-13,"Manitoba, Ontario, Saskatchewan",Arthropods,,Added to list
Baikal Sedge,,Special Concern,2016-04-29,Carex sabulosa,Baikal Sedge,,Special Concern,2019-02-25,Schedule 1,2006-08-15,Yukon,Vascular Plants,,Downlisted: Threatened to special concern
Baird's Beaked Whale,,Not at Risk,1992-04-01,Berardius bairdii,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Baird's Sparrow,,Special Concern,2012-05-04,Ammodramus bairdii,Baird's Sparrow,,Special Concern,2017-02-03,Schedule 1,2017-02-03,"Alberta, Manitoba, Saskatchewan",Birds,,Added to list
Bald Eagle,,Not at Risk,1984-04-01,Haliaeetus leucocephalus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Band-tailed Pigeon,,Special Concern,2021-05-05,Patagioenas fasciata,Band-tailed Pigeon,,Special Concern,2011-02-04,Schedule 1,2011-02-04,British Columbia,Birds,,Added to list
Banded Cord-moss,,Special Concern,2015-05-01,Entosthodon fascicularis,Banded Cord-moss,,Special Concern,2006-08-15,Schedule 1,2006-08-15,British Columbia,Mosses,,Added to list
Banded Killifish,Mainland populations,Not at Risk,1989-04-01,Fundulus diaphanus,,,No Status,,No schedule,,"Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Fishes (freshwater),,
Banded Killifish,Newfoundland populations,Special Concern,2014-05-02,Fundulus diaphanus,Banded Killifish,Newfoundland populations,Special Concern,2005-01-12,Schedule 1,2005-01-12,Newfoundland and Labrador,Fishes (freshwater),,Added to list
Banff Longnose Dace,,Extinct,2000-05-01,Rhinichthys cataractae smithi,,,No Status,,No schedule,,Alberta,Fishes (freshwater),,
Banff Springs Snail,,Endangered,2018-04-27,Physella johnsoni,Banff Springs Snail,,Endangered,2003-06-05,Schedule 1,2003-06-05,Alberta,Molluscs,,Added to list
Bank Swallow,,Threatened,2013-05-03,Riparia riparia,Bank Swallow,,Threatened,2017-11-02,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,Added to list
Barn Owl,,Non-active,1999-04-01,Tyto alba,Barn Owl,,,,No schedule,,"British Columbia, Ontario, Quebec",Birds,,
Barn Owl,Eastern population,Endangered,2010-11-26,Tyto alba,Barn Owl,Eastern population,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Birds,,Added to list
Barn Owl,Western population,Threatened,2010-11-26,Tyto alba,Barn Owl,Western population,Threatened,2018-05-30,Schedule 1,2003-06-05,British Columbia,Birds,,Uplisted: Special Concern to threatened
Barn Swallow,,Special Concern,2021-05-05,Hirundo rustica,Barn Swallow,,Threatened,,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Status change,Pending
Barndoor Skate,,Not at Risk,2010-11-26,Dipturus laevis,,,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),,
Caribou,Dolphin and Union population,Endangered,2017-11-01,Rangifer tarandus,Barren-ground Caribou,Dolphin and Union population,Special Concern,,Schedule 1,2011-02-04,"Northwest Territories, Nunavut",Mammals (terrestrial),Status change,Pending
Barrens Willow,,Endangered,2001-05-01,Salix jejuna,Barrens Willow,,Endangered,2003-06-05,Schedule 1,2003-06-05,Newfoundland and Labrador,Vascular Plants,,Added to list
Barrow's Goldeneye,Eastern population,Special Concern,2011-05-06,Bucephala islandica,Barrow's Goldeneye,Eastern population,Special Concern,2003-06-05,Schedule 1,2003-06-05,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Birds,,Added to list
Bashful Bulrush,,Endangered,2000-05-01,Trichophorum planifolium,Bashful Bulrush,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Basking Shark,Atlantic population,Special Concern,2009-11-27,Cetorhinus maximus,Basking Shark,Atlantic population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Basking Shark,Pacific population,Endangered,2018-04-27,Cetorhinus maximus,Basking Shark,Pacific population,Endangered,2010-02-23,Schedule 1,2010-02-23,"British Columbia, Pacific Ocean",Fishes (marine),,Added to list
Annual Saltmarsh Aster,,Not at Risk,2017-04-28,Symphyotrichum subulatum,Bathurst Aster,Bathurst population,,,,,"New Brunswick, Prince Edward Island, Quebec",Vascular Plants,,
Batwing Vinyl Lichen,,Endangered,2011-05-06,Leptogium platynum,Batwing Vinyl Lichen,,Endangered,2017-02-03,Schedule 1,2017-02-03,British Columbia,Lichens,,Added to list
Beach Pinweed,,Special Concern,2008-04-25,Lechea maritima,Beach Pinweed,,Special Concern,2010-02-23,Schedule 1,2010-02-23,"New Brunswick, Prince Edward Island",Vascular Plants,,Added to list
Bear's-foot Sanicle,,Threatened,2015-11-26,Sanicula arctopoides,Bear's-foot Sanicle,,Threatened,2019-02-25,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Downlisted: Endangered to threatened
Bearded Owl-clover,,Endangered,2011-11-25,Triphysaria versicolor,Bearded Owl-clover,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Bearded Seal,,Data Deficient,2007-04-22,Erignathus barbatus,,,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario",Mammals (marine),,
Behr's Hairstreak,,Endangered,2012-05-04,Satyrium behrii,Behr's Hairstreak,,Endangered,2017-02-03,Schedule 1,2003-06-05,British Columbia,Arthropods,,Uplisted: Threatened to endangered
Beluga Whale,Cumberland Sound population,Endangered,2020-11-04,Delphinapterus leucas,Beluga Whale,Cumberland Sound population,Threatened,,Schedule 1,2017-04-13,"Arctic Ocean, Nunavut",Mammals (marine),Status change,Pending
Beluga Whale,Eastern Beaufort Sea population,Not at Risk,2004-05-01,Delphinapterus leucas,,,No Status,,No schedule,,"Arctic Ocean, Northwest Territories",Mammals (marine),,
Beluga Whale,Eastern High Arctic - Baffin Bay population,Special Concern,2020-11-04,Delphinapterus leucas,Beluga Whale,Eastern High Arctic - Baffin Bay population,No Status,,No schedule,,"Arctic Ocean, Nunavut",Mammals (marine),Addition,Pending
Beluga Whale,Eastern Hudson Bay population,Threatened,2020-11-04,Delphinapterus leucas,Beluga Whale,Eastern Hudson Bay population,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Newfoundland and Labrador, Nunavut, Quebec",Mammals (marine),Addition,Pending
Beluga Whale,James Bay population,Not at Risk,2020-11-04,Delphinapterus leucas,,,No Status,,No schedule,,"Nunavut, Ontario, Quebec",Mammals (marine),,
Beluga Whale,Southeast Baffin Island-Cumberland Sound population,Non-active,2004-05-01,Delphinapterus leucas,Beluga Whale,Southeast Baffin Island-Cumberland Sound population,,,,,"Arctic Ocean, Nunavut",Mammals (marine),,
Beluga Whale,St. Lawrence Estuary population,Endangered,2014-11-28,Delphinapterus leucas,Beluga Whale,St. Lawrence Estuary population,Endangered,2017-04-13,Schedule 1,2005-07-14,"Atlantic Ocean, Quebec",Mammals (marine),,Uplisted: Threatened to endangered
Beluga Whale,Ungava Bay population,Endangered,2020-11-04,Delphinapterus leucas,Beluga Whale,Ungava Bay population,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Quebec",Mammals (marine),Addition,Pending
Beluga Whale,Western Hudson Bay population,Not at Risk,2020-11-04,Delphinapterus leucas,,,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Nunavut, Ontario, Quebec",Mammals (marine),,
Beluga Whale,"Western Hudson Bay population, 2004 designation",Non-active,2020-11-04,Delphinapterus leucas,Beluga Whale,Western Hudson Bay population,No Status,2006-08-15,No schedule,,"Arctic Ocean, Atlantic Ocean, Manitoba, Nunavut, Ontario",Mammals (marine),,Decision deferred further consultations required
Beluga Whale,"Western Hudson Bay population, original designation",Non-active,2004-05-01,Delphinapterus leucas,,,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Manitoba, Nunavut, Ontario",Mammals (marine),,
Bent Spike-rush,Great Lakes Plains population,Endangered,2009-04-26,Eleocharis geniculata,Bent Spike-rush,Great Lakes Plains population,Endangered,2011-02-04,Schedule 1,2011-02-04,Ontario,Vascular Plants,,Added to list
Bent Spike-rush,Southern Mountain population,Endangered,2009-04-26,Eleocharis geniculata,Bent Spike-rush,Southern Mountain population,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,,Added to list
Bering Cisco,,Special Concern,2017-11-01,Coregonus laurettae,Bering Cisco,,No Status,,No schedule,,Yukon,Fishes (freshwater),Addition,Pending
Bering Wolffish,,Data Deficient,2002-11-01,Anarhichas orientalis,Bering Wolffish,,,,,,Arctic Ocean,Fishes (marine),,
Bert's Predaceous Diving Beetle,,Endangered,2022-12-03,Sanfilippodytes bertae,Bert's Predaceous Diving Beetle,,Endangered,2012-06-20,Schedule 1,2012-06-20,Alberta,Arthropods,,Added to list
Bicknell's Thrush,,Threatened,2022-12-03,Catharus bicknelli,Bicknell's Thrush,,Threatened,2012-06-20,Schedule 1,2012-06-20,"New Brunswick, Nova Scotia, Quebec",Birds,,Added to list
Big Skate,,Not at Risk,2007-04-22,Raja binoculata,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Bigmouth Buffalo,,Non-active,2008-04-25,Ictiobus cyprinellus,Bigmouth Buffalo,,,,No schedule,,"Manitoba, Ontario, Saskatchewan",Fishes (freshwater),,
Bigmouth Buffalo,Great Lakes - Upper St. Lawrence populations,Not at Risk,2008-04-25,Ictiobus cyprinellus,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Bigmouth Buffalo,Saskatchewan - Nelson River populations,Special Concern,2009-04-26,Ictiobus cyprinellus,Bigmouth Buffalo,Saskatchewan - Nelson River populations,Special Concern,2011-06-23,Schedule 1,2011-06-23,"Manitoba, Saskatchewan",Fishes (freshwater),,Added to list
Bigmouth Shiner,,Not at Risk,2003-11-01,Notropis dorsalis,Bigmouth Shiner,,,,,,Manitoba,Fishes (freshwater),,
Bird's-foot Violet,,Endangered,2002-05-01,Viola pedata,Bird's-foot Violet,,Endangered,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Added to list
Black Ash,,Threatened,2018-11-01,Fraxinus nigra,Black Ash,,No Status,,No schedule,,"Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Vascular Plants,Addition,Pending
Black Buffalo,,Data Deficient,2007-04-22,Ictiobus niger,Black Buffalo,,,,,,Ontario,Fishes (freshwater),,
Black Hills Mountainsnail,,Endangered,2021-05-05,Oreohelix cooperi,Black Hills Mountainsnail,,No Status,,No schedule,,"Alberta, Saskatchewan",Molluscs,Addition,Pending
Black Redhorse,,Threatened,2015-05-01,Moxostoma duquesnei,Black Redhorse,,Threatened,2019-08-08,Schedule 1,2019-08-08,Ontario,Fishes (freshwater),,Added to list
Black Swift,,Endangered,2015-05-01,Cypseloides niger,Black Swift,,Endangered,2019-05-22,Schedule 1,2019-05-22,"Alberta, British Columbia",Birds,,Added to list
Black Tern,,Not at Risk,1996-04-01,Chlidonias niger,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Ontario, Quebec, Saskatchewan",Birds,,
Black-foam Lichen,,Threatened,2015-05-01,Anzia colpodes,Black-foam Lichen,,Threatened,2019-02-25,Schedule 1,2019-02-25,"New Brunswick, Nova Scotia, Ontario, Quebec",Lichens,,Added to list
Black-footed Albatross,,Special Concern,2007-04-22,Phoebastria nigripes,Black-footed Albatross,,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,Birds,,Added to list
